City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,kone,-21.0595,164.8658,30.59,67,62,3.77,NC,1710814033
181,invercargill,-46.4,168.35,15.57,63,36,2.24,NZ,1710813749
182,whitehorse,60.7161,-135.0538,4.89,50,100,0.45,CA,1710814033
183,kapenguria,1.2511,35.0895,16.27,59,57,2.31,KE,1710814033
184,anadyr,64.75,177.4833,-22.72,76,0,2.0,RU,1710814034
185,suva,-18.1416,178.4415,30.71,66,75,3.09,FJ,1710814034
186,new norfolk,-42.7826,147.0587,28.72,37,7,5.64,AU,1710814034
187,kashgar,39.4547,75.9797,5.98,25,45,1.06,CN,1710814034
188,san fernando,15.0286,120.6898,28.85,42,52,3.24,PH,1710813800
189,qamdo,31.1667,97.2333,-1.11,39,28,3.35,CN,1710814034
190,dungarvan,52.0881,-7.6253,10.54,100,44,2.68,IE,1710814034
191,langxiang,46.95,128.8833,-2.41,45,100,0.96,CN,1710814034
192,gorom-gorom,14.4439,-0.2361,24.76,12,0,4.64,BF,1710814034
193,pelabuhan klang,3.0,101.4,31.1,71,34,1.54,MY,1710813755
194,pahrump,36.2083,-115.9839,19.97,23,3,1.79,US,1710813887
195,laoang,12.5,125.0167,27.39,74,75,2.57,PH,1710814035
196,vilyuysk,63.7553,121.6247,-8.33,85,100,8.05,RU,1710814035
197,vallenar,-28.5708,-70.7581,21.51,51,0,1.33,CL,1710814035
198,kulhudhuffushi,6.6221,73.07,28.25,76,9,5.15,MV,1710814035
199,winburg,-28.518,27.0093,14.84,59,47,2.36,ZA,1710814035
200,trapani,37.8333,12.6667,12.38,85,2,2.53,IT,1710814035
201,pisco,-13.7,-76.2167,23.03,83,0,5.66,PE,1710813861
202,bengkulu,-3.8004,102.2655,27.85,72,1,0.95,ID,1710813735
203,yangambi,0.8102,24.4336,23.14,81,20,1.19,CD,1710814035
204,annandale,38.8304,-77.1964,3.91,41,40,6.69,US,1710814035
205,pocahontas,36.2615,-90.9712,4.47,46,0,2.57,US,1710814035
206,san juan de miraflores,-12.1629,-76.9635,26.21,73,100,3.22,PE,1710814036
207,thompson,55.7435,-97.8558,-7.3,87,91,7.01,CA,1710814018
208,orzysz,53.8097,21.9481,2.28,86,100,2.82,PL,1710814036
209,neryungri,56.6709,124.6491,-15.53,87,61,0.74,RU,1710814036
210,vorkuta,67.5,64.0,-15.47,88,100,10.38,RU,1710814036
211,lebu,-37.6167,-73.65,12.11,86,100,3.1,CL,1710814036
212,swakopmund,-22.6833,14.5333,18.32,83,98,2.36,NA,1710814036
213,gamba,-2.65,10.0,26.53,90,100,1.41,GA,1710814036
214,lagoa,39.05,-27.9833,14.63,68,68,11.34,PT,1710814036
215,wailua homesteads,22.0669,-159.378,26.24,68,100,4.12,US,1710814036
216,nago,26.5881,127.9761,19.47,87,100,5.19,JP,1710814037
217,korla,41.7597,86.1469,5.53,36,0,1.52,CN,1710814037
218,ocean city,39.2776,-74.5746,4.44,48,55,4.92,US,1710814037
219,mount pearl,47.5166,-52.7813,0.74,95,90,4.02,CA,1710814037
220,port mathurin,-19.6833,63.4167,26.33,76,3,8.12,MU,1710814037
221,punta arenas,-53.15,-70.9167,1.06,93,20,1.54,CL,1710814037
222,tokar,18.4254,37.729,26.64,74,100,3.78,SD,1710814037
223,toamasina,-18.1667,49.3833,24.0,94,40,2.57,MG,1710814037
224,horta,38.5333,-28.6333,14.45,78,61,1.79,PT,1710814037
225,kamaishi,39.2667,141.8833,5.5,32,36,3.24,JP,1710814038
226,awjilah,29.1081,21.2869,12.82,73,0,3.02,LY,1710814038
227,slawharad,53.4446,31.0014,3.36,97,100,4.47,BY,1710814038
228,presidencia de la plaza,-27.0015,-59.8424,30.2,67,100,4.17,AR,1710814038
229,kokopo,-4.352,152.2633,28.2,81,82,3.49,PG,1710814038
230,smithers,54.7804,-127.1743,4.36,91,100,0.68,CA,1710814016
231,cherryville,53.1569,-6.9667,10.31,91,52,5.84,IE,1710814038
232,carutapera,-1.195,-46.02,25.47,91,98,2.63,BR,1710814038
233,vilyuchinsk,52.9306,158.4028,2.15,84,97,9.82,RU,1710814038
234,larkird,35.4894,66.6641,5.52,69,69,3.86,AF,1710814039
235,tuchola,53.5879,17.8591,1.33,87,64,1.34,PL,1710814039
236,choyr,46.3611,108.3611,-8.62,74,4,2.81,MN,1710814039
237,vila franca do campo,37.7167,-25.4333,18.27,99,72,8.37,PT,1710814039
238,kaa-khem,51.6833,94.7333,-12.55,87,76,0.84,RU,1710814039
239,usinsk,65.9939,57.5281,-12.74,84,34,5.81,RU,1710814039
240,kuanda,56.3161,116.0806,-12.19,87,99,0.57,RU,1710814039
241,suntar,62.1444,117.6319,-3.0,94,100,5.28,RU,1710814039
242,whangarei,-35.7317,174.3239,19.89,40,0,3.58,NZ,1710813829
243,arteche,12.2645,125.4048,26.63,79,93,3.56,PH,1710814040
244,coquimbo,-29.9533,-71.3436,17.61,84,4,1.04,CL,1710814027
245,diamantino,-14.4086,-56.4461,27.15,67,82,1.69,BR,1710813831
246,el calafate,-50.3408,-72.2768,5.35,79,100,1.65,AR,1710814040
247,alice springs,-23.7,133.8833,36.23,24,62,3.6,AU,1710814040
248,gizo,-8.103,156.8419,29.46,70,47,2.63,SB,1710814040
249,remire-montjoly,4.9167,-52.2667,28.02,78,75,4.63,GF,1710814040
250,la'ie,21.6477,-157.9253,25.0,71,58,3.13,US,1710814040
251,motueka,-41.1333,173.0167,19.5,52,46,4.2,NZ,1710813789
252,gjirokaster,40.0758,20.1389,11.44,85,100,1.06,AL,1710814040
253,bandiagara,14.3501,-3.6104,27.34,10,97,5.52,ML,1710814041
254,carbonear,47.7332,-53.2148,1.46,93,46,6.03,CA,1710814041
255,sao jose do rio pardo,-21.5956,-46.8886,22.88,80,95,1.07,BR,1710813830
256,valparaiso,-33.0393,-71.6273,19.44,53,0,2.57,CL,1710813888
257,bardai,11.65,7.2333,20.63,14,4,3.9,NG,1710814041
258,kavieng,-2.5744,150.7967,25.94,88,100,4.84,PG,1710814041
259,kilindoni,-7.9139,39.6668,27.56,79,100,3.68,TZ,1710814041
260,natchitoches,31.7668,-93.1335,8.99,43,0,2.57,US,1710814041
261,dailekh,28.8333,81.6667,17.35,29,57,1.82,NP,1710814041
262,oranjemund,-28.55,16.4333,16.71,88,60,2.45,NA,1710814041
263,arkhangel'sk,64.5401,40.5433,-2.15,53,0,3.0,RU,1710814041
264,kukawa,12.9234,13.5606,23.07,35,16,6.75,NG,1710814041
265,nacala,-14.5428,40.6728,22.63,91,100,3.18,MZ,1710814041
266,pakosc,52.8018,18.0853,2.0,83,99,1.78,PL,1710814042
267,mili,6.0815,171.735,27.47,84,45,6.31,MH,1710814042
268,athens,37.9795,23.7162,15.18,86,100,1.34,GR,1710813901
269,dong ha,16.8163,107.1003,25.67,78,86,2.4,VN,1710814042
270,bereket,39.2446,55.5154,15.52,47,100,2.75,TM,1710814042
271,ruidoso,33.3317,-105.673,5.53,86,75,2.57,US,1710814042
272,ghat,24.9647,10.1728,16.03,29,0,1.56,LY,1710814042
273,kahama,-3.8333,32.6,17.65,97,88,2.03,TZ,1710814042
274,chernyshevskiy,63.0128,112.4714,-10.68,86,75,5.51,RU,1710814042
275,rongelap,11.1635,166.8941,26.99,80,100,7.33,MH,1710814042
276,tazovsky,67.4667,78.7,-23.96,99,80,3.12,RU,1710814042
277,verkhnevilyuysk,63.4453,120.3167,-6.21,93,100,6.69,RU,1710814042
278,carnarvon,-24.8667,113.6333,29.34,62,100,6.09,AU,1710814042
279,carolina beach,34.0352,-77.8936,14.49,60,100,6.75,US,1710814043
280,manicore,-5.8092,-61.3003,23.24,99,100,0.3,BR,1710814043
281,amungan,15.3652,119.9582,29.02,49,12,3.44,PH,1710814043
282,polyarnyy,69.1989,33.4478,-1.29,92,100,4.22,RU,1710814043
283,isla mujeres,21.2311,-86.731,27.03,86,21,3.63,MX,1710814043
284,camargo,27.6667,-105.1667,15.68,60,51,9.7,MX,1710814043
285,gilgit,35.9221,74.3087,2.68,52,26,1.65,PK,1710814043
286,beloyarskiy,63.7119,66.6722,-8.24,88,100,5.82,RU,1710814043
287,varkaus,62.3153,27.873,-12.05,98,62,1.06,FI,1710814043
288,vernon,50.2581,-119.2691,13.85,45,8,1.05,CA,1710814043
289,bubaque,11.2833,-15.8333,24.52,68,2,6.47,GW,1710814043
290,quezon,7.7303,125.0989,30.83,47,99,1.41,PH,1710814044
291,bhachau,23.2833,70.35,24.03,30,23,3.58,IN,1710814044
292,smara,26.7384,-11.6719,20.25,42,0,2.25,EH,1710814038
293,agbabu,6.5886,4.8343,26.16,93,50,1.39,NG,1710814044
294,san luis,-33.295,-66.3356,20.85,83,70,4.59,AR,1710814004
295,san antonio de pale,-1.4014,5.6325,27.85,83,100,4.79,GQ,1710814044
296,zavodskoy,43.4597,132.2922,-0.23,92,75,0.0,RU,1710814044
297,severo-yeniseyskiy,60.3725,93.0408,-3.01,93,100,4.92,RU,1710814044
298,taroudant,30.4703,-8.877,19.97,20,0,1.73,MA,1710814044
299,tofol,5.3248,163.0078,28.88,79,75,1.54,FM,1710814044
300,oriximina,-1.7656,-55.8661,24.57,95,98,1.49,BR,1710814045
301,ancud,-41.8697,-73.8203,12.8,84,100,4.5,CL,1710814045
302,amahai,-3.3333,128.9167,30.58,57,65,1.2,ID,1710814045
303,sawakin,19.1059,37.3321,26.02,75,100,4.83,SD,1710814045
304,piti village,13.4626,144.6933,31.49,67,40,6.69,GU,1710814045
305,udachny,66.4167,112.4,-14.75,71,51,8.41,RU,1710814013
306,camalu,30.85,-116.0667,18.14,76,9,4.12,MX,1710814045
307,muli,2.9167,73.5667,28.47,69,1,4.1,MV,1710814045
308,guerrero negro,27.9769,-114.0611,17.28,64,7,5.9,MX,1710814045
309,minas de marcona,-15.2119,-75.1103,19.08,84,100,3.39,PE,1710814045
310,tosontsengel,48.7567,98.2839,-14.29,91,66,0.94,MN,1710814045
311,nuuk,64.1835,-51.7216,-8.66,92,100,3.6,GL,1710813840
312,fortuna,40.5982,-124.1573,12.74,92,100,0.89,US,1710814046
313,lerwick,60.1545,-1.1494,8.0,89,100,13.56,GB,1710814046
314,ust'-ilimsk,58.0006,102.6619,-0.31,83,100,3.13,RU,1710814046
315,bayanhongor,46.7167,100.1167,-14.47,74,6,0.44,MN,1710814046
316,walterboro,32.9052,-80.6668,15.0,35,0,5.14,US,1710814046
317,castillos,-34.1667,-53.8333,21.73,92,66,1.96,UY,1710814046
318,yekaterinoslavka,50.3734,129.1139,-9.13,76,19,2.36,RU,1710814046
319,haiku-pauwela,20.9219,-156.3051,25.01,66,20,8.23,US,1710814046
320,ayang-ni,38.2431,125.78,7.87,72,94,4.87,KP,1710814046
321,utrik,11.2278,169.8474,26.62,78,100,6.67,MH,1710814046
322,muroto-misakicho,33.2833,134.15,11.9,62,99,3.27,JP,1710814046
323,tianpeng,30.9866,103.9393,16.2,42,99,2.18,CN,1710814047
324,sao gabriel da cachoeira,-0.1303,-67.0892,25.65,84,88,1.12,BR,1710814047
325,inverell,-29.7833,151.1167,29.81,54,2,1.34,AU,1710814047
326,klyuchi,52.2667,79.1667,-3.43,84,100,4.53,RU,1710814047
327,energetik,51.7445,58.7934,-5.47,97,100,1.75,RU,1710814047
328,cabedelo,-6.9811,-34.8339,28.37,81,37,5.33,BR,1710813891
329,along,28.1667,94.7667,21.24,50,11,0.71,IN,1710814047
330,alofi,-19.0595,-169.9187,28.94,89,75,4.12,NU,1710814047
331,acapulco de juarez,16.8634,-99.8901,23.9,88,75,4.12,MX,1710813820
332,barra,-11.0894,-43.1417,26.32,61,98,1.44,BR,1710813954
333,urangan,-25.3,152.9,26.58,72,12,5.37,AU,1710814048
334,virginia,37.5481,-77.4467,8.35,36,75,7.2,US,1710813970
335,konarka,19.9,86.1167,22.22,75,50,2.81,IN,1710814048
336,hengshui,37.7322,115.7011,11.97,13,0,3.41,CN,1710814048
337,kingston,17.997,-76.7936,25.67,84,1,0.95,JM,1710814009
338,colonia,50.9333,6.95,9.98,83,100,1.28,DE,1710814048
339,saarijarvi,62.7049,25.254,-14.91,98,65,1.39,FI,1710814048
340,eydhafushi,5.1033,73.0708,28.19,70,63,3.97,MV,1710814048
341,betio village,1.358,172.9211,32.02,76,33,3.29,KI,1710814049
342,capo d'orlando,38.1435,14.7305,11.9,58,0,0.74,IT,1710813766
343,port lincoln,-34.7333,135.8667,20.46,66,99,6.86,AU,1710814049
344,tawau,4.2498,117.8871,29.07,74,11,2.68,MY,1710813980
345,mahina,-17.5065,-149.489,29.87,70,100,3.09,PF,1710814049
346,siverek,37.755,39.3167,7.92,93,100,4.43,TR,1710814049
347,aripuana,-9.1667,-60.6333,23.35,99,100,0.97,BR,1710814049
348,tashtyp,52.7939,89.8983,-1.16,82,55,1.0,RU,1710814049
349,sechura,-5.5569,-80.8222,25.8,67,75,4.28,PE,1710814049
350,tidjikja,18.5564,-11.4271,24.85,10,4,5.18,MR,1710814050
351,arys,42.4252,68.795,9.91,82,100,2.78,KZ,1710814050
352,codrington,-38.2667,141.9667,18.82,77,100,7.1,AU,1710814050
353,bogande,12.9714,-0.1436,26.22,13,66,4.48,BF,1710814050
